movieId,title,genres,imdbId,tmdbId,avg_rating,rating_count,year,clean_title,genres_list,budget,tagline,adult,overview,revenue,runtime,tmdb_rating,tmdb_votes,popularity,release_date,original_language,original_title,poster_path,backdrop_path,countries,languages,production_companies,certification_us,cinematographer,composer,editor,keywords,plot,awards,rated,rating,imdb_rating,imdb_votes,metascore,genre_Action,genre_Adventure,genre_Animation,genre_Children,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Fantasy,genre_Film-Noir,genre_Horror,genre_IMAX,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Thriller,genre_War,genre_Western,lead_actor_1,lead_actor_2,lead_actor_3,lead_character_1,lead_character_2,lead_character_3,supporting_actor_1,supporting_actor_2,supporting_actor_3,supporting_actor_4,supporting_actor_5,supporting_character_1,supporting_character_2,supporting_character_3,supporting_character_4,supporting_character_5,main_director,main_producer,main_writer,main_genre,tone,theme,plot_structure,historical_period,movie_type,inference_confidence
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862,3.92093023255814,215,1995,Toy Story,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",30000000.0,,False,"Los juguetes de Andy, un niño de seis años, temen que haya llegado su hora y que un nuevo regalo de cumpleaños les sustituya en el corazón de su dueño. Woody, un vaquero que ha sido hasta ahora el juguete favorito de Andy, trata de tranquilizarlos hasta que aparece Buzz Lightyear, un héroe espacial dotado de todo tipo de avances tecnológicos. Woody es relegado a un segundo plano, pero su constante rivalidad se transformará en una gran amistad cuando ambos se pierden en la ciudad sin saber cómo volver a casa.",401157969.0,77.0,7.97,19463.0,19.0861,1995-11-22,en,Toy Story,/y59d8PjuFSgJJN4VRS7jDoRgSM9.jpg,/3Rfvhy1Nl6sSGJwyjb0QiZzZYlB.jpg,United States of America,English,Pixar,G,,Randy Newman,Lee Unkrich,rescue|friendship|mission|jealousy|villain|bullying|elementary school|rivalry|anthropomorphism|friends|computer animation|buddy|walkie talkie|toy car|boy next door|new toy|neighborhood|toy comes to life|resourcefulness|toy|pixar,"A little boy named Andy loves to be in his room, playing with his toys, especially his doll named ""Woody"". But, what do the toys do when Andy is not with them, they come to life. Woody believes that his life (as a toy) is good. However, he must worry about Andy's family moving, and what Woody does not know is about Andy's birthday party. Woody does not realize that Andy's mother gave him an action figure known as Buzz Lightyear, who does not believe that he is a toy, and quickly becomes Andy's new favorite toy. Woody, who is now consumed with jealousy, tries to get rid of Buzz. Then, both Woody and Buzz are now lost. They must find a way to get back to Andy before he moves without them, but they will have to pass through a ruthless toy killer, Sid Phillips.",Nominated for 3 Oscars. 29 wins & 24 nominations total,G,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",8.3,"1,153,271",96.0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Tom Hanks,Tim Allen,Don Rickles,Woody (voice),Buzz Lightyear (voice),Mr. Potato Head (voice),Jim Varney,Wallace Shawn,John Ratzenberger,Annie Potts,John Morris,Slinky Dog (voice),Rex (voice),Hamm (voice),Bo Peep (voice),Andy (voice),John Lasseter,Ralph Guggenheim,Alec Sokolow,Adventure,DramaticTone,,LinearNarrative,Historical,FeatureFilm,0.5666666666666667
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844,3.4318181818181817,110,1995,Jumanji,"['Adventure', 'Children', 'Fantasy']",65000000.0,Hay una selva dentro.,False,"Cuando el joven Alan Parrish descubre un misterioso juego de mesa, no se da cuenta de sus inimaginables poderes hasta que, por arte de magia, es transportado ante los ojos de su amiga Sarah a las salvajes junglas de Jumanji. Al cabo de 26 años, es liberado del juego por dos niños que no sospechan nada. Alan se reencuentra con Sarah y, junto a Judy y Peter, intentan burlar las poderosas fuerzas del juego antes de que sea demasiado tarde.",262821940.0,104.0,7.244,11056.0,3.1111,1995-12-15,en,Jumanji,/m67M2wXLKblJLuJlvF7qaGrGfCa.jpg,/qSxeCfWUUyht9hZgaaYmtPtTkw2.jpg,United States of America,English|Français,TriStar Pictures|Interscope Communications|Teitler Film|PolyGram Filmed Entertainment,PG,Thomas E. Ackerman,James Horner,Robert Dalva,giant insect|board game|disappearance|jungle|recluse|stampede|based on young adult novel|vibrant,"Jumanji, one of the most unique--and dangerous--board games ever, falls into the hands of the curious teen, Alan Parrish, in 1969. Mysterious and magical, the game strands the unsuspecting boy in the lush, savage forests of a mythical realm. Nearly three decades later, the game releases him before the awed eyes of the young orphaned siblings, Judy and Peter Shepherd. Now, the wild and incessant beat of the jungle's tribal drums is calling for the now-adult Alan and the other hesitant players, as the one who rolls the dice must never leave undone what the roll has started. Has anyone ever escaped from the game and Jumanji's formidable foes?",4 wins & 11 nominations total,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",7.1,"406,817",41.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Robin Williams,Kirsten Dunst,Bradley Pierce,Alan Parrish,Judy Shepherd,Peter Shepherd,Bonnie Hunt,Jonathan Hyde,Bebe Neuwirth,David Alan Grier,Adam Hann-Byrd,Sarah Whittle,Samuel Alan Parrish / Van Pelt,Nora Shepherd,Carl Bentley,Young Alan,Joe Johnston,William Teitler,Jonathan Hensleigh,Adventure,DramaticTone,,LinearNarrative,Historical,FeatureFilm,0.5666666666666667
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602,3.2596153846153846,52,1995,Grumpier Old Men,"['Comedy', 'Romance']",25000000.0,Sigue gritando. Todavía luchando. Todavía listo para el amor.,False,"El verano ha llegado a Minnesotta y la relación entre Max y John ha mejorado considerablemente, tanto que se han hecho amigos. Además, comparten una gran afición por la pesca y pasan largas horas en el lago. María, una atractiva italiana, llega con su madre al pueblo con la intención de convertir la antigua tienda de artículos de pesca del lago en un restaurante. Max, temiendo que los clientes espanten a los peces, tratará de ponerle todo tipo de dificultades; pero John está convencido de que lo que su amigo necesita es una esposa, así que pondrá en marcha sus propios planes.",71500000.0,101.0,6.483,414.0,2.05,1995-12-22,en,Grumpier Old Men,/5xDGSwW2o36qZG3VYi9o5kVFj4i.jpg,/1o4vuCHpmd4DXofMYDUwpnhKiuy.jpg,United States of America,English,Lancaster Gate|Warner Bros. Pictures,PG-13,Tak Fujimoto,Alan Silvestri,Billy Weber,fishing|sequel|old man|best friend|wedding|italian restaurant|old friends|duringcreditsstinger|pranks,"Things don't seem to change much in Wabasha County: Max and John are still fighting after 35 years, Grandpa still drinks, smokes, and chases women , and nobody's been able to catch the fabled ""Catfish Hunter"", a gigantic catfish that actually smiles at fishermen who try to snare it. Six months ago John married the new girl in town (Ariel), and people begin to suspect that Max might be missing something similar in his life. The only joy Max claims is left in his life is fishing, but that might change with the new owner of the bait shop.",2 wins & 2 nominations total,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",6.7,"31,416",46.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Walter Matthau,Jack Lemmon,Ann-Margret,Max Goldman,John Gustafson,Ariel Gustafson,Sophia Loren,Daryl Hannah,Burgess Meredith,Kevin Pollak,Katie Sagona,Maria Sophia Coletta Ragetti,Melanie Gustafson,Grandpa Gustafson,Jacob Goldman,"Allie, Melanie's Daughter",Howard Deutch,Richard C. Berman,,Comedy,RomanticTone,,EpisodicNarrative,Historical,FeatureFilm,0.5666666666666667
5,Father of the Bride Part II (1995),Comedy,113041,11862,3.071428571428572,49,1995,Father of the Bride Part II,['Comedy'],0.0,¡Lo inesperado!,False,"Tras la boda de su querida hija Anne, George Banks siente que un periodo de calma y disfrute se abre ante él. Podrá cumplir su sueño de vender su casa y vivir junto a la playa. Pero primero los recién casados, anunciando su próxima paternidad, y después su mujer Nina, comunicándole que también está embarazada, parecen estar dispuestos a no dejarle disfrutar de su bien ganado descanso.",76594107.0,106.0,6.269,787.0,3.9655,1995-12-08,en,Father of the Bride Part II,/xzyG2s3EfXOY5oAwqQgaUBOXNBO.jpg,/lEsjVrGU21BeJjF5AF9EWsihDpw.jpg,United States of America,English,Touchstone Pictures|Sandollar Productions,PG,William A. Fraker,Alan Silvestri,Stephen A. Rotter,"daughter|baby|parent child relationship|midlife crisis|pregnancy|confidence|aging|sequel|remake|los angeles, california|pregnant woman|contraception|gynecologist|pregnant","In this sequel to ""Father of the Bride"", George Banks must accept the reality of what his daughter's ascension from daughter to wife, and now, to mother means when placed into perspective against his own stage of life. As the comfortable family unit starts to unravel in his mind, a rapid progression into mid-life crisis is in his future. His journey to regain his youth acts as a catalyst for a kind of ""rebirth"" of his attitude on life when he and his wife, Nina, find how their lives are about to change as well.",1 win & 2 nominations total,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",6.1,"44,576",49.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steve Martin,Diane Keaton,Martin Short,George Banks,Nina Banks,Franck Eggelhoffer,Kimberly Williams-Paisley,George Newbern,Kieran Culkin,BD Wong,Peter Michael Goetz,Annie Banks-MacKenzie,Bryan MacKenzie,Matty Banks,Howard Weinstein,John MacKenzie,Charles Shyer,Nancy Meyers,Nancy Meyers,Comedy,RomanticTone,Family|Love,EpisodicNarrative,Historical,FeatureFilm,0.7333333333333334
6,Heat (1995),Action|Crime|Thriller,113277,949,3.946078431372549,102,1995,Heat,"['Action', 'Crime', 'Thriller']",60000000.0,Una saga criminal en Los Ángeles,False,"Neil McCauley es un experto ladrón. Su filosofía consiste en vivir sin ataduras que puedan constituir un obstáculo, si las cosas se complican. Su banda la forman criminales profesionales tan cualificados que pueden impresionar incluso al detective Vincent Hanna. Pero Hannah vive tan obsesionado con su trabajo que llega incluso a poner en peligro su relación sentimental. Cuando la banda de McCauley prepara el golpe definitivo y el equipo de Hannah intenta evitarlo, cada uno de ellos comprende que tiene que vérselas con una de las mentes más brillantes a la que se ha enfrentado en su carrera.",187400000.0,170.0,7.926,8020.0,15.2958,1995-12-15,en,Heat,/kRfh1NCkDXGFrWzL6zDmVnHjRKh.jpg,/uI22JkEMediWyiRqhllNqeeGtW0.jpg,United States of America,English|Español,Warner Bros. Pictures|Regency Enterprises|Forward Pass,R,Dante Spinotti,Elliot Goldenthal,Dov Hoenig,"robbery|chase|obsession|detective|heist|thief|honor|murder|betrayal|gang|los angeles, california|cat and mouse|bank robbery|criminal mastermind|cynical|ex-con|one last job|loner|bank job|neo-noir|crime epic|antagonistic|assertive|authoritarian|bold","Hunters and their prey--Neil and his professional criminal crew hunt to score big money targets (banks, vaults, armored cars) and are, in turn, hunted by Lt. Vincent Hanna and his team of cops in the Robbery/Homicide police division. A botched job puts Hanna onto their trail while they regroup and try to put together one last big 'retirement' score. Neil and Vincent are similar in many ways, including their troubled personal lives. At a crucial moment in his life, Neil disobeys the dictum taught to him long ago by his criminal mentor--'Never have anything in your life that you can't walk out on in thirty seconds flat, if you spot the heat coming around the corner'--as he falls in love. Thus the stage is set for the suspenseful ending....",15 nominations total,R,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",8.3,"786,226",76.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Al Pacino,Robert De Niro,Val Kilmer,Lt. Vincent Hanna,Neil McCauley,Chris Shiherlis,Jon Voight,Tom Sizemore,Diane Venora,Amy Brenneman,Ashley Judd,Nate,Michael Cheritto,Justine,Eady,Charlene Shiherlis,Michael Mann,Michael Mann,,Action,DarkTone,Betrayal,LinearNarrative,Historical,FeatureFilm,0.7000000000000001
7,Sabrina (1995),Comedy|Romance,114319,11860,3.185185185185185,54,1995,Sabrina,"['Comedy', 'Romance']",58000000.0,Quedas cordialmente invitado al enlace más fascinante del año.,False,"Sabrina Fairchild, la hija del chófer de la acaudalada familia de los Larrabee, desde niña se sintió fascinada por los hermanos Larrabee, especialmente por David. Convertida ya en una jovencita, gracias a los ahorros de su padre, se va a París. Cuando regresa a Estados Unidos, se ha transformado en una bella y sofisticada joven que deslumbra a David hasta tal punto que está dispuesto a romper su compromiso matrimonial con una millonaria. Pero Linus, el hermano mayor, ha cerrado un trato comercial con el padre de la novia de David y no está dispuesto a consentir que nadie interfiera en sus negocios.",53672080.0,127.0,6.2,663.0,3.4951,1995-12-15,en,Sabrina,/pKxuFbkT0QMbY7yAQjFXcexhqsI.jpg,/oMGV48EGhsNavC1PL8HMeWs5Udq.jpg,Germany|United States of America,English|Français,Paramount Pictures|Constellation Films|Mirage Enterprises|Scott Rudin Productions|Sandollar Productions|Worldwide Productions|Mont Blanc Entertainment GmbH,PG,Giuseppe Rotunno,John Williams,Fredric Steinkamp,"chauffeur|sibling relationship|paris, france|transformation|birthday party|family business |long island, new york|playboy|teenage crush|millionaire|marriage engagement|high society|merger|impossible love|family disapproval|scheme|wealth differences|wealthy family|father daughter relationship|brother brother relationship|unlikely romance|romantic","While she was growing up, Sabrina Fairchild spent more time perched in a tree watching the Larrabee family than she ever did on solid ground. As the chauffeur's daughter on their lavish Long Island estate, Sabrina was invisible behind the branches, but she knew them all below - There is Maude Larrabee, the modern matriarch of the Larrabee Corporation; Linus Larrabee, the serious older son who expanded a successful family business into the world's largest communications company; and David, the handsome, fun-loving Larrabee, who was the center of Sabrina's world until she was shipped off to Paris. After two years on the staff of Vogue magazine, Sabrina has returned to the Larrabee estate but now she has blossomed into a beautiful and sophisticated woman. And she's standing in the way of a billion dollar deal.",Nominated for 2 Oscars. 2 wins & 6 nominations total,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",6.3,"46,598",56.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Harrison Ford,Julia Ormond,Greg Kinnear,Linus Larrabee,Sabrina Fairchild,David Larrabee,Nancy Marchand,John Wood,Richard Crenna,Angie Dickinson,Lauren Holly,Maude Larrabee,Fairchild,Patrick Tyson,Ingrid Tyson,Elizabeth Tyson,Sydney Pollack,Sydney Pollack,Barbara Benedek,Comedy,RomanticTone,Family|Love,EpisodicNarrative,Historical,FeatureFilm,0.7333333333333334
10,GoldenEye (1995),Action|Adventure|Thriller,113189,710,3.496212121212121,132,1995,GoldenEye,"['Action', 'Adventure', 'Thriller']",60000000.0,"Cuando el mundo es el objetivo y la amenaza es real, solo se puede confiar en un hombre.",False,"En sus vacaciones, el agente Bond se encuentra con la bella y letal Xenia Onatopp, que intenta hacerse con los planos de un nuevo helicóptero invulnerable a las interferencias. Mientras tanto la programadora del ejército ruso Natalya Siminova es la única superviviente de su equipo a un macabro plan del general Ourumov para hacerse con Goldeneye, un arma espacial ultrasecreta que emite pulsos nucleares que inutilizan cualquier equipo electrónico. Bond formará equipo con Natalya para descubrir a los malhechores tras el robo.",352194034.0,130.0,6.9,4186.0,6.0324,1995-11-16,en,GoldenEye,/plvWFyL4tQXgWOae0P8A4hECWLD.jpg,/fIWsCpYR9iGDMSbMTSAzy8L7Kg5.jpg,United Kingdom,English|Pусский|Español,EON Productions,PG-13,Phil Meheux,Éric Serra,Terry Rawlings,"computer virus|cuba|falsely accused|secret intelligence service|secret identity|secret base|kgb|satellite|special car|cossack|electromagnetic pulse|time bomb|st. petersburg, russia|red army","When a deadly satellite weapon system falls into the wrong hands, only Agent James Bond 007 (Pierce Brosnan) can save the world from certain disaster. Armed with his licence to kill, Bond races to Russia in search of the stolen access codes for ""GoldenEye"", an awesome space weapon that can fire a devastating electromagnetic pulse toward Earth. But 007 is up against an enemy who anticipates his every move: a mastermind motivated by years of simmering hatred. Bond also squares off against Xenia Onatopp (Famke Janssen), an assassin who uses pleasure as her ultimate weapon.",Nominated for 2 BAFTA 2 wins & 8 nominations total,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",7.2,"281,321",65.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Pierce Brosnan,Sean Bean,Izabella Scorupco,James Bond,Alec Trevelyan,Natalya Simonova,Famke Janssen,Joe Don Baker,Judi Dench,Robbie Coltrane,Tchéky Karyo,Xenia Onatopp,Jack Wade,M,Valentin Zukovsky,Dmitri Mishkin,Martin Campbell,Barbara Broccoli,Jeffrey Caine,Action,SuspensefulTone,Identity,LinearNarrative,Historical,FeatureFilm,0.7000000000000001
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087,3.6714285714285713,70,1995,"American President, The","['Comedy', 'Drama', 'Romance']",62000000.0,¿Por qué el hombre más poderoso del mundo no puede tener lo que más quiere?,False,"Andrew Shepherd, el presidente de los Estados Unidos, acaba de enviudar. Sin embargo, inicia un inesperado romance con Sydney Wade, miembro de una importante organización ecologista. En plena campaña electoral, su rival, el republicano Bob Rumson, aprovechará esa relación para desacreditarlo.",107879496.0,113.0,6.5,760.0,1.9694,1995-11-17,en,The American President,/viZoh0mP01XsHeb2PZs4LvcLB1f.jpg,/62BnXyJtVEq4WKNSpnPG7QPYYDI.jpg,United States of America,English|Français,Castle Rock Entertainment|Universal Pictures|Wildwood Enterprises|Columbia Pictures,PG-13,John Seale,Marc Shaiman,Robert Leighton,new love|usa president|the white house|holiday|global warming|press|fossil fuel|dating|class differences|widower|wildlife conservation|lobbyist|father daughter relationship|widower with daughter|romantic,"Andrew Shepherd is approaching the end of his first term as President of the United States. He's a widower with a young daughter and has proved to be popular with the public. His election seems assured. That is until he meets Sydney Ellen Wade, a paid political activist working for an environmental lobby group. He's immediately smitten with her and after several amusing attempts, they finally manage to go on a date (which happens to be a State dinner for the visiting President of France). His relationship with Wade opens the door for his prime political opponent, Senator Bob Rumson, to launch an attack on the President's character, something he could not do in the previous election as Shepherd's wife had only recently died.",Nominated for 1 Oscar. 1 win & 11 nominations total,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",6.8,"63,758",68.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Michael Douglas,Annette Bening,Martin Sheen,Andrew Shepherd,Sydney Ellen Wade,A.J. MacInerney,Michael J. Fox,Anna Deavere Smith,Samantha Mathis,Shawna Waldron,David Paymer,Lewis Rothschild,Robin McCall,Janie Basdin,Lucy Shepherd,Leon Kodak,Rob Reiner,Rob Reiner,,Comedy,RomanticTone,Family|Love,EpisodicNarrative,Historical,FeatureFilm,0.7333333333333334
16,Casino (1995),Crime|Drama,112641,524,3.926829268292683,82,1995,Casino,"['Crime', 'Drama']",50000000.0,La suerte no tiene nada que ver con los juegos que ellos practican.,False,"Las Vegas, 1973. Sam ""Ace"" Rothstein, un profesional de las apuestas, es el eficaz director de un importante casino que pertenece a un grupo de mafiosos. Su misión es controlar el funcionamiento del negocio y garantizar que la corriente de dinero que va a parar a manos de sus jefes siga fluyendo. Las Vegas es un lugar ideal para millonarios y políticos, pero es también lugar de paso de tahúres, prestamistas, traficantes de drogas y matones. Un día el violento Nicky Santoro, al que sus jefes han encargado que cuide de Sam, llega a Las Vegas con la intención de quedarse.",116112375.0,178.0,7.991,6334.0,8.2518,1995-11-22,en,Casino,/7x8lsyTB0G7OrLzQ7qxt3ywQ4OY.jpg,/iZGiMD0p1M2AOmzKknFo5bkuz94.jpg,France|United States of America,English,Universal Pictures|Syalis DA|Légende Films|Cappa/De Fina Productions,R,Robert Richardson,,Thelma Schoonmaker,drug abuse|casino|based on novel or book|poker|italian american|gambling|1970s|fbi|pimp|greed|cocaine|overdose|marriage|car bomb|rise and fall|money|murder|organized crime|mafia|jewish american|las vegas|desert|safe deposit box|1980s|dramatic|brutal violence|fbi surveillance,"This Martin Scorsese film depicts the Janus-like quality of Las Vegas--it has a glittering, glamorous face, as well as a brutal, cruel one. Ace Rothstein and Nicky Santoro, mobsters who move to Las Vegas to make their mark, live and work in this paradoxical world. Seen through their eyes, each as a foil to the other, the details of mob involvement in the casinos of the 1970s and '80s are revealed. Ace is the smooth operator of the Tangiers casino, while Nicky is his boyhood friend and tough strongman, robbing and shaking down the locals. However, they each have a tragic flaw--Ace falls in love with a hustler, Ginger, and Nicky falls into an ever-deepening spiral of drugs and violence.",Nominated for 1 Oscar. 4 wins & 11 nominations total,R,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",8.2,"609,791",73.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Robert De Niro,Sharon Stone,Joe Pesci,"Sam ""Ace"" Rothstein",Ginger McKenna,Nicky Santoro,James Woods,Don Rickles,Alan King,Kevin Pollak,L.Q. Jones,Lester Diamond,Billy Sherbert,Andy Stone,Phillip Green,Pat Webb,Martin Scorsese,Barbara De Fina,Nicholas Pileggi,Crime,DarkTone,Power|Love,LinearNarrative,Historical,FeatureFilm,0.7333333333333334
17,Sense and Sensibility (1995),Drama|Romance,114388,4584,3.776119402985074,67,1995,Sense and Sensibility,"['Drama', 'Romance']",16000000.0,"Dos hermanas. Una es la razón. La otra, la pasión. Pero cuando el amor llega, ambas siguen el dictado del corazón.",False,"Inglaterra, siglo XIX. Dos hermanas completamente distintas: una, pura razón y sentido común; la otra, pura sensibilidad y pasión, se enfrentan al amor y a las adversidades de la vida. Al morir su padre, deben abandonar su hogar, que pasa a manos de un hermanastro, hijo del primer matrimonio de su padre. Se mudan al campo y, allí, tendrán experiencias amorosas que producirán en ellas un cambio profundo.",134582776.0,131.0,7.42,1798.0,10.5846,1995-12-13,en,Sense and Sensibility,/eAhOt2FExPlLRtkln6mAZEOFU3T.jpg,/cFnyfWHL6HjOOVal6lp8e5gqibK.jpg,United States of America|United Kingdom,English,Columbia Pictures|Mirage Enterprises|Good Machine,PG,Michael Coulter,Patrick Doyle,Tim Squyres,"secret love|london, england|countryside|based on novel or book|widow|military officer|servant|country life|pneumonia|inheritance|period drama|rainstorm|decorum|horse carriage|young love|dowry|social class|19th century|penniless|social elite|bloodletting|free spirited|sussex|1800s|sisters love|marry for money|secret engagement|devonshire, england","When Mr. Dashwood (Tom Wilkinson) dies, he must leave the bulk of his estate to the son by his first marriage, which leaves his second wife and their three daughters Elinor (Dame Emma Thompson), Marianne (Kate Winslet), and Margaret (Emilie François), in straitened circumstances. They are taken in by a kindly cousin, but their lack of fortune affects the marriageability of practical Elinor and romantic Marianne. When Elinor forms an attachment for the wealthy Edward Ferrars (Hugh Grant), his family disapproves and separates them. And though Mrs. Jennings (Elizabeth Spriggs) tries to match the worthy (and rich) Colonel Brandon (Alan Rickman) to her, Marianne finds the dashing and fiery John Willoughby (Greg Wise) more to her taste. Both relationships are sorely tried.",Won 1 Oscar. 33 wins & 50 nominations total,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",7.7,"135,320",84.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Emma Thompson,Kate Winslet,Alan Rickman,Elinor Dashwood,Marianne Dashwood,Colonel Christopher Brandon,Hugh Grant,Gemma Jones,Greg Wise,Elizabeth Spriggs,Imogen Stubbs,Edward Ferrars,Mrs. Dashwood,John Willoughby,Mrs. Jennings,Lucy Steele,Ang Lee,Lindsay Doran,Emma Thompson,Drama,DramaticTone|RomanticTone,Love,LinearNarrative,Historical,FeatureFilm,0.6666666666666666
